,Age,Fare,PassengerId,Pclass,Survived,Name_title,Sex_label,Fare_Group,Embarked_label,Family,TicketLettGroup,Cabin_IsNull,Cabin_group,Age_IsNull,Age_group
48,28,21.6792,49,3,0.0,1,1,1,0,1,2,1,0,1,1
49,18,17.8,50,3,0.0,2,0,1,2,1,2,1,0,0,1
50,7,39.6875,51,3,0.0,5,1,1,2,2,3,1,0,0,0
51,21,7.8,52,3,0.0,1,1,0,2,0,1,1,0,0,1
52,49,76.7292,53,1,1.0,2,0,1,0,1,2,0,8,0,3
53,29,26.0,54,2,1.0,2,0,1,2,1,2,1,0,0,1
54,65,61.9792,55,1,0.0,1,1,1,0,1,2,0,4,0,4
55,41,35.5,56,1,1.0,1,1,1,2,0,1,0,3,1,2
56,21,10.5,57,2,1.0,3,0,0,2,0,1,1,0,0,1
57,28,7.2292,58,3,0.0,1,1,0,0,0,1,1,0,0,1
58,5,27.75,59,2,1.0,3,0,1,2,1,2,1,0,0,0
59,11,46.9,60,3,0.0,5,1,1,2,2,3,1,0,0,0
60,22,7.2292,61,3,0.0,1,1,0,0,0,1,1,0,0,1
61,38,80.0,62,1,1.0,3,0,1,2,0,2,0,5,0,2
62,45,83.475,63,1,0.0,1,1,1,2,1,2,0,2,0,3
63,4,27.9,64,3,0.0,5,1,1,2,2,3,1,0,0,0
64,41,27.7208,65,1,0.0,1,1,1,0,0,1,1,0,1,2
65,6,15.2458,66,3,1.0,5,1,0,0,1,2,1,0,1,0
66,29,10.5,67,2,1.0,2,0,0,2,0,1,0,8,0,1
67,19,8.1583,68,3,0.0,1,1,0,2,0,1,1,0,0,1
68,17,7.925,69,3,1.0,3,0,0,2,2,1,1,0,0,0
69,26,8.6625,70,3,0.0,1,1,0,2,1,1,1,0,0,1
70,32,10.5,71,2,0.0,1,1,0,2,0,1,1,0,0,1
71,16,46.9,72,3,0.0,3,0,1,2,2,3,1,0,0,0
72,21,73.5,73,2,0.0,1,1,1,2,0,3,1,0,0,1
73,26,14.4542,74,3,0.0,1,1,0,0,1,2,1,0,0,1
74,32,56.4958,75,3,1.0,1,1,1,2,0,3,1,0,0,1
75,25,7.65,76,3,0.0,1,1,0,2,0,1,0,3,0,1
76,28,7.8958,77,3,0.0,1,1,0,2,0,1,1,0,1,1
77,28,8.05,78,3,0.0,1,1,0,2,0,1,1,0,1,1
78,0,29.0,79,2,1.0,5,1,1,2,1,2,1,0,0,0
79,30,12.475,80,3,1.0,3,0,0,2,0,2,1,0,0,1
80,22,9.0,81,3,0.0,1,1,0,2,0,1,1,0,0,1
81,29,9.5,82,3,1.0,1,1,0,2,0,1,1,0,0,1
82,17,7.7875,83,3,1.0,3,0,0,1,0,1,1,0,1,0
83,28,47.1,84,1,0.0,1,1,1,2,0,2,1,0,0,1
84,17,10.5,85,2,1.0,3,0,0,2,0,1,1,0,0,0
85,33,15.85,86,3,1.0,2,0,0,2,1,2,1,0,0,1
86,16,34.375,87,3,0.0,1,1,1,2,2,2,1,0,0,0
87,28,8.05,88,3,0.0,1,1,0,2,0,1,1,0,1,1
88,23,263.0,89,1,1.0,3,0,1,2,2,3,0,6,0,1
89,24,8.05,90,3,0.0,1,1,0,2,0,1,1,0,0,1
90,29,8.05,91,3,0.0,1,1,0,2,0,1,1,0,0,1
91,20,7.8542,92,3,0.0,1,1,0,2,0,1,1,0,0,1
92,46,61.175,93,1,0.0,1,1,1,2,1,2,0,5,0,3
93,26,20.575,94,3,0.0,1,1,1,2,1,2,1,0,0,1
94,59,7.25,95,3,0.0,1,1,0,2,0,1,1,0,0,4
95,28,8.05,96,3,0.0,1,1,0,2,0,1,1,0,1,1
96,71,34.6542,97,1,0.0,1,1,1,0,0,1,0,3,0,4
97,23,63.3583,98,1,1.0,1,1,1,0,1,2,0,3,0,1
98,34,23.0,99,2,1.0,2,0,1,2,1,2,1,0,0,2
99,34,26.0,100,2,0.0,1,1,1,2,1,2,1,0,0,2
100,28,7.8958,101,3,0.0,3,0,0,2,0,1,1,0,0,1
101,28,7.8958,102,3,0.0,1,1,0,2,0,1,1,0,1,1
102,21,77.2875,103,1,0.0,1,1,1,2,1,2,0,8,0,1
103,33,8.6542,104,3,0.0,1,1,0,2,0,1,1,0,0,1
104,37,7.925,105,3,0.0,1,1,0,2,1,1,1,0,0,2
105,28,7.8958,106,3,0.0,1,1,0,2,0,1,1,0,0,1
106,21,7.65,107,3,1.0,3,0,0,2,0,1,1,0,0,1
107,28,7.775,108,3,1.0,1,1,0,2,0,1,1,0,1,1
108,38,7.8958,109,3,0.0,1,1,0,2,0,1,1,0,0,2
109,17,24.15,110,3,1.0,3,0,1,1,1,2,1,0,1,0
110,47,52.0,111,1,0.0,1,1,1,2,0,2,0,1,0,3
111,14,14.4542,112,3,0.0,3,0,0,0,1,2,1,0,0,0
112,22,8.05,113,3,0.0,1,1,0,2,0,1,1,0,0,1
113,20,9.825,114,3,0.0,3,0,0,2,1,1,1,0,0,1
114,17,14.4583,115,3,0.0,3,0,0,0,0,2,1,0,0,0
115,21,7.925,116,3,0.0,1,1,0,2,0,1,1,0,0,1
116,70,7.75,117,3,0.0,1,1,0,1,0,1,1,0,0,4
117,29,21.0,118,2,0.0,1,1,1,2,1,2,1,0,0,1
118,24,247.5208,119,1,0.0,1,1,1,0,1,2,0,4,0,1
119,2,31.275,120,3,0.0,3,0,1,2,2,3,1,0,0,0
120,21,73.5,121,2,0.0,1,1,1,2,1,3,1,0,0,1
121,28,8.05,122,3,0.0,1,1,0,2,0,1,1,0,1,1
122,32,30.0708,123,2,0.0,1,1,1,0,1,2,1,0,0,1
123,32,13.0,124,2,1.0,3,0,0,2,0,1,0,7,0,1
124,54,77.2875,125,1,0.0,1,1,1,2,1,2,0,8,0,3
125,12,11.2417,126,3,1.0,5,1,0,0,1,2,1,0,0,0
126,28,7.75,127,3,0.0,1,1,0,1,0,1,1,0,1,1
127,24,7.1417,128,3,1.0,1,1,0,2,0,1,1,0,0,1
128,17,22.3583,129,3,1.0,3,0,1,0,1,2,0,3,1,0
129,45,6.975,130,3,0.0,1,1,0,2,0,1,1,0,0,3
130,33,7.8958,131,3,0.0,1,1,0,0,0,1,1,0,0,1
131,20,7.05,132,3,0.0,1,1,0,2,0,1,1,0,0,1
132,47,14.5,133,3,0.0,2,0,0,2,1,2,1,0,0,3
133,29,26.0,134,2,1.0,2,0,1,2,1,2,1,0,0,1
134,25,13.0,135,2,0.0,1,1,0,2,0,1,1,0,0,1
135,23,15.0458,136,2,0.0,1,1,0,0,0,1,1,0,0,1
136,19,26.2833,137,1,1.0,3,0,1,2,1,1,0,2,0,1
137,37,53.1,138,1,0.0,1,1,1,2,1,2,0,2,0,2
138,16,9.2167,139,3,0.0,1,1,0,2,0,2,1,0,0,0
139,24,79.2,140,1,0.0,1,1,1,0,0,2,0,3,0,1
140,32,15.2458,141,3,0.0,2,0,0,0,1,2,1,0,1,1
141,22,7.75,142,3,1.0,3,0,0,2,0,1,1,0,0,1
142,24,15.85,143,3,1.0,2,0,0,2,1,2,1,0,0,1
143,19,6.75,144,3,0.0,1,1,0,1,0,1,1,0,0,1
144,18,11.5,145,2,0.0,1,1,0,2,0,1,1,0,0,1
145,19,36.75,146,2,0.0,1,1,1,2,1,2,1,0,0,1
146,27,7.7958,147,3,1.0,1,1,0,2,0,1,1,0,0,1
147,9,34.375,148,3,0.0,3,0,1,2,2,2,1,0,0,0
148,36,26.0,149,2,0.0,1,1,1,2,1,2,0,6,0,2
149,42,13.0,150,2,0.0,4,1,0,2,0,1,1,0,0,2
150,51,12.525,151,2,0.0,4,1,0,2,0,1,1,0,0,3
151,22,66.6,152,1,1.0,2,0,1,2,1,2,0,6,0,1
152,55,8.05,153,3,0.0,1,1,0,2,0,1,1,0,0,3
153,40,14.5,154,3,0.0,1,1,0,2,1,2,1,0,0,2
154,28,7.3125,155,3,0.0,1,1,0,2,0,1,1,0,1,1
155,51,61.3792,156,1,0.0,1,1,1,0,1,2,1,0,0,3
156,16,7.7333,157,3,1.0,3,0,0,1,0,1,1,0,0,0
157,30,8.05,158,3,0.0,1,1,0,2,0,1,1,0,0,1
158,28,8.6625,159,3,0.0,1,1,0,2,0,1,1,0,1,1
159,6,69.55,160,3,0.0,5,1,1,2,2,4,1,0,1,0
160,44,16.1,161,3,0.0,1,1,0,2,1,2,1,0,0,3
161,40,15.75,162,2,1.0,2,0,0,2,0,2,1,0,0,2
162,26,7.775,163,3,0.0,1,1,0,2,0,1,1,0,0,1
163,17,8.6625,164,3,0.0,1,1,0,2,0,1,1,0,0,0
164,1,39.6875,165,3,0.0,5,1,1,2,2,3,1,0,0,0
165,9,20.525,166,3,1.0,5,1,1,2,1,2,1,0,0,0
166,42,55.0,167,1,1.0,2,0,1,2,1,2,0,8,1,2
167,45,27.9,168,3,0.0,2,0,1,2,2,3,1,0,0,3
168,41,25.925,169,1,0.0,1,1,1,2,0,1,1,0,1,2
169,28,56.4958,170,3,0.0,1,1,1,2,0,3,1,0,0,1
170,61,33.5,171,1,0.0,1,1,1,2,0,1,0,4,0,4
171,4,29.125,172,3,0.0,5,1,1,1,2,3,1,0,0,0
172,1,11.1333,173,3,1.0,3,0,0,2,1,2,1,0,0,0
173,21,7.925,174,3,0.0,1,1,0,2,0,1,1,0,0,1
174,56,30.6958,175,1,0.0,1,1,1,0,0,1,0,4,0,3
175,18,7.8542,176,3,0.0,1,1,0,2,1,1,1,0,0,1
176,6,25.4667,177,3,0.0,5,1,1,2,2,2,1,0,1,0
177,50,28.7125,178,1,0.0,3,0,1,0,0,1,0,5,0,3
178,30,13.0,179,2,0.0,1,1,0,2,0,1,1,0,0,1
179,36,0.0,180,3,0.0,1,1,0,2,0,2,1,0,0,2
180,17,69.55,181,3,0.0,3,0,1,2,2,4,1,0,1,0
181,32,15.05,182,2,0.0,1,1,0,0,0,1,1,0,1,1
182,9,31.3875,183,3,0.0,5,1,1,2,2,3,1,0,0,0
183,1,39.0,184,2,1.0,5,1,1,2,1,2,0,5,0,0
184,4,22.025,185,3,1.0,3,0,1,2,1,2,1,0,0,0
185,41,50.0,186,1,0.0,1,1,1,2,0,1,0,3,1,2
186,32,15.5,187,3,1.0,2,0,0,1,1,2,1,0,1,1
187,45,26.55,188,1,1.0,1,1,1,2,0,1,1,0,0,3
188,40,15.5,189,3,0.0,1,1,0,1,1,2,1,0,0,2
189,36,7.8958,190,3,0.0,1,1,0,2,0,1,1,0,0,2
190,32,13.0,191,2,1.0,2,0,0,2,0,1,1,0,0,1
191,19,13.0,192,2,0.0,1,1,0,2,0,1,1,0,0,1
192,19,7.8542,193,3,1.0,3,0,0,2,1,1,1,0,0,1
193,3,26.0,194,2,1.0,5,1,1,2,1,2,0,6,0,0
194,44,27.7208,195,1,1.0,2,0,1,0,0,1,0,5,0,3
195,58,146.5208,196,1,1.0,3,0,1,0,0,2,0,3,0,3
196,28,7.75,197,3,0.0,1,1,0,1,0,1,1,0,1,1
197,42,8.4042,198,3,0.0,1,1,0,2,1,1,1,0,0,2
198,17,7.75,199,3,1.0,3,0,0,1,0,1,1,0,1,0
199,24,13.0,200,2,0.0,3,0,0,2,0,1,1,0,0,1
200,28,9.5,201,3,0.0,1,1,0,2,0,1,1,0,0,1
201,28,69.55,202,3,0.0,1,1,1,2,2,4,1,0,1,1
202,34,6.4958,203,3,0.0,1,1,0,2,0,1,1,0,0,2
203,45,7.225,204,3,0.0,1,1,0,0,0,1,1,0,0,3
204,18,8.05,205,3,1.0,1,1,0,2,0,1,1,0,0,1
205,2,10.4625,206,3,0.0,3,0,0,2,1,2,0,9,0,0
206,32,15.85,207,3,0.0,1,1,0,2,1,2,1,0,0,1
207,26,18.7875,208,3,1.0,1,1,1,0,0,2,1,0,0,1
208,16,7.75,209,3,1.0,3,0,0,1,0,1,1,0,0,0
209,40,31.0,210,1,1.0,1,1,1,0,0,1,0,5,0,2
210,24,7.05,211,3,0.0,1,1,0,2,0,1,1,0,0,1
211,35,21.0,212,2,1.0,3,0,1,2,0,2,1,0,0,2
212,22,7.25,213,3,0.0,1,1,0,2,0,1,1,0,0,1
213,30,13.0,214,2,0.0,1,1,0,2,0,1,1,0,0,1
214,28,7.75,215,3,0.0,1,1,0,1,1,1,1,0,1,1
215,31,113.275,216,1,1.0,3,0,1,0,1,2,0,5,0,1
216,27,7.925,217,3,1.0,3,0,0,2,0,1,1,0,0,1
217,42,27.0,218,2,0.0,1,1,1,2,1,2,1,0,0,2
218,32,76.2917,219,1,1.0,3,0,1,0,0,2,0,2,0,1
219,30,10.5,220,2,0.0,1,1,0,2,0,1,1,0,0,1
220,16,8.05,221,3,1.0,1,1,0,2,0,1,1,0,0,0
221,27,13.0,222,2,0.0,1,1,0,2,0,1,1,0,0,1
222,51,8.05,223,3,0.0,1,1,0,2,0,1,1,0,0,3
223,28,7.8958,224,3,0.0,1,1,0,2,0,1,1,0,1,1
224,38,90.0,225,1,1.0,1,1,1,2,1,2,0,2,0,2
225,22,9.35,226,3,0.0,1,1,0,2,0,1,1,0,0,1
226,19,10.5,227,2,1.0,1,1,0,2,0,1,1,0,0,1
227,20,7.25,228,3,0.0,1,1,0,2,0,1,1,0,0,1
228,18,13.0,229,2,0.0,1,1,0,2,0,1,1,0,0,1
229,17,25.4667,230,3,0.0,3,0,1,2,2,2,1,0,1,0
230,35,83.475,231,1,1.0,2,0,1,2,1,2,0,2,0,2
231,29,7.775,232,3,0.0,1,1,0,2,0,1,1,0,0,1
232,59,13.5,233,2,0.0,1,1,0,2,0,1,1,0,0,4
233,5,31.3875,234,3,1.0,3,0,1,2,2,3,1,0,0,0
234,24,10.5,235,2,0.0,1,1,0,2,0,1,1,0,0,1
235,17,7.55,236,3,0.0,3,0,0,2,0,1,1,0,1,0
236,44,26.0,237,2,0.0,1,1,1,2,1,2,1,0,0,3
237,8,26.25,238,2,1.0,3,0,1,2,1,2,1,0,0,0
238,19,10.5,239,2,0.0,1,1,0,2,0,1,1,0,0,1
239,33,12.275,240,2,0.0,1,1,0,2,0,1,1,0,0,1
240,17,14.4542,241,3,0.0,3,0,0,0,1,2,1,0,1,0
241,17,15.5,242,3,1.0,3,0,0,1,1,2,1,0,1,0
242,29,10.5,243,2,0.0,1,1,0,2,0,1,1,0,0,1
243,22,7.125,244,3,0.0,1,1,0,2,0,1,1,0,0,1
244,30,7.225,245,3,0.0,1,1,0,0,0,1,1,0,0,1
245,44,90.0,246,1,0.0,5,1,1,1,1,2,0,6,0,3
246,25,7.775,247,3,0.0,3,0,0,2,0,1,1,0,0,1
247,24,14.5,248,2,1.0,2,0,0,2,1,2,1,0,0,1
248,37,52.5542,249,1,1.0,1,1,1,2,1,2,0,4,0,2
249,54,26.0,250,2,0.0,4,1,1,2,1,2,1,0,0,3
250,28,7.25,251,3,0.0,1,1,0,2,0,1,1,0,1,1
251,29,10.4625,252,3,0.0,2,0,0,2,1,2,0,9,0,1
252,62,26.55,253,1,0.0,1,1,1,2,0,1,0,1,0,4
253,30,16.1,254,3,0.0,1,1,0,2,1,2,1,0,0,1
254,41,20.2125,255,3,0.0,2,0,1,2,1,2,1,0,0,2
255,29,15.2458,256,3,1.0,2,0,0,0,1,2,1,0,0,1
256,42,79.2,257,1,1.0,2,0,1,0,0,2,1,0,1,2
257,30,86.5,258,1,1.0,3,0,1,2,0,2,0,3,0,1
258,35,512.3292,259,1,1.0,3,0,1,0,0,2,1,0,0,2
259,50,26.0,260,2,1.0,2,0,1,2,1,2,1,0,0,3
260,28,7.75,261,3,0.0,1,1,0,1,0,1,1,0,1,1
261,3,31.3875,262,3,1.0,5,1,1,2,2,3,1,0,0,0
262,52,79.65,263,1,0.0,1,1,1,2,1,2,0,2,0,3
263,40,0.0,264,1,0.0,1,1,0,2,0,1,0,1,0,2
264,17,7.75,265,3,0.0,3,0,0,1,0,1,1,0,1,0
265,36,10.5,266,2,0.0,1,1,0,2,0,1,1,0,0,2
266,16,39.6875,267,3,0.0,1,1,1,2,2,3,1,0,0,0
267,25,7.775,268,3,1.0,1,1,0,2,1,1,1,0,0,1
268,58,153.4625,269,1,1.0,2,0,1,2,1,2,0,2,0,3
269,35,135.6333,270,1,1.0,3,0,1,2,0,2,0,1,0,2
270,41,31.0,271,1,0.0,1,1,1,2,0,2,1,0,1,2
271,25,0.0,272,3,1.0,1,1,0,2,0,2,1,0,0,1
272,41,19.5,273,2,1.0,2,0,1,2,1,2,1,0,0,2
273,37,29.7,274,1,0.0,1,1,1,0,1,1,0,1,0,2
274,17,7.75,275,3,1.0,3,0,0,1,0,1,1,0,1,0
275,63,77.9583,276,1,1.0,3,0,1,2,1,2,0,4,0,4
276,45,7.75,277,3,0.0,3,0,0,2,0,1,1,0,0,3
277,32,0.0,278,2,0.0,1,1,0,2,0,2,1,0,1,1
278,7,29.125,279,3,0.0,5,1,1,1,2,3,1,0,0,0
279,35,20.25,280,3,1.0,2,0,1,2,1,2,1,0,0,2
280,65,7.75,281,3,0.0,1,1,0,1,0,1,1,0,0,4
281,28,7.8542,282,3,0.0,1,1,0,2,0,1,1,0,0,1
282,16,9.5,283,3,0.0,1,1,0,2,0,1,1,0,0,0
283,19,8.05,284,3,1.0,1,1,0,2,0,1,1,0,0,1
284,41,26.0,285,1,0.0,1,1,1,2,0,1,0,4,1,2
285,33,8.6625,286,3,0.0,1,1,0,0,0,1,1,0,0,1
286,30,9.5,287,3,1.0,1,1,0,2,0,1,1,0,0,1
287,22,7.8958,288,3,0.0,1,1,0,2,0,1,1,0,0,1
288,42,13.0,289,2,1.0,1,1,0,2,0,1,1,0,0,2
289,22,7.75,290,3,1.0,3,0,0,1,0,1,1,0,0,1
290,26,78.85,291,1,1.0,3,0,1,2,0,2,1,0,0,1
291,19,91.0792,292,1,1.0,2,0,1,0,1,2,0,5,0,1
292,36,12.875,293,2,0.0,1,1,0,0,0,1,0,0,0,2
293,24,8.85,294,3,0.0,3,0,0,2,0,1,1,0,0,1
294,24,7.8958,295,3,0.0,1,1,0,2,0,1,1,0,0,1
295,41,27.7208,296,1,0.0,1,1,1,0,0,1,1,0,1,2
296,23,7.2292,297,3,0.0,1,1,0,0,0,1,1,0,0,1
297,2,151.55,298,1,0.0,3,0,1,2,1,3,0,8,0,0
298,41,30.5,299,1,1.0,1,1,1,2,0,1,0,2,1,2
299,50,247.5208,300,1,1.0,2,0,1,0,1,2,0,4,0,3
300,17,7.75,301,3,1.0,3,0,0,1,0,1,1,0,1,0
301,28,23.25,302,3,1.0,1,1,1,1,1,2,1,0,1,1
302,19,0.0,303,3,0.0,1,1,0,2,0,2,1,0,0,1
303,20,12.35,304,2,1.0,3,0,0,1,0,1,0,7,1,1
304,28,8.05,305,3,0.0,1,1,0,2,0,1,1,0,1,1
305,0,151.55,306,1,1.0,5,1,1,2,1,3,0,8,0,0
306,30,110.8833,307,1,1.0,3,0,1,0,0,2,1,0,1,1
307,17,108.9,308,1,1.0,2,0,1,0,1,2,0,2,0,0
308,30,24.0,309,2,0.0,1,1,1,0,1,2,1,0,0,1
309,30,56.9292,310,1,1.0,3,0,1,0,0,2,0,5,0,1
310,24,83.1583,311,1,1.0,3,0,1,0,0,2,0,2,0,1
311,18,262.375,312,1,1.0,3,0,1,0,2,3,0,5,0,1
312,26,26.0,313,2,0.0,2,0,1,2,1,2,1,0,0,1
313,28,7.8958,314,3,0.0,1,1,0,2,0,1,1,0,0,1
314,43,26.25,315,2,0.0,1,1,1,2,1,2,1,0,0,2
315,26,7.8542,316,3,1.0,3,0,0,2,0,1,1,0,0,1
316,24,26.0,317,2,1.0,2,0,1,2,1,2,1,0,0,1
317,54,14.0,318,2,0.0,5,1,0,2,0,1,1,0,0,3
318,31,164.8667,319,1,1.0,3,0,1,2,1,2,0,4,0,1
319,40,134.5,320,1,1.0,2,0,1,0,1,2,0,7,0,2
320,22,7.25,321,3,0.0,1,1,0,2,0,1,1,0,0,1
321,27,7.8958,322,3,0.0,1,1,0,2,0,1,1,0,0,1
322,30,12.35,323,2,1.0,3,0,0,1,0,1,1,0,0,1
323,22,29.0,324,2,1.0,2,0,1,2,1,2,1,0,0,1
324,28,69.55,325,3,0.0,1,1,1,2,2,4,1,0,1,1
325,36,135.6333,326,1,1.0,3,0,1,0,0,2,0,3,0,2
326,61,6.2375,327,3,0.0,1,1,0,2,0,1,1,0,0,4
327,36,13.0,328,2,1.0,2,0,0,2,0,1,0,0,0,2
328,31,20.525,329,3,1.0,2,0,1,2,1,2,1,0,0,1
329,16,57.9792,330,1,1.0,3,0,1,0,1,2,0,3,0,0
330,17,23.25,331,3,1.0,3,0,1,1,1,2,1,0,1,0
331,45,28.5,332,1,0.0,1,1,1,2,0,1,0,2,0,3
332,38,153.4625,333,1,0.0,1,1,1,2,1,2,0,1,0,2
333,16,18.0,334,3,0.0,1,1,1,2,1,2,1,0,0,0
334,42,133.65,335,1,1.0,2,0,1,2,1,2,1,0,1,2
335,28,7.8958,336,3,0.0,1,1,0,2,0,1,1,0,1,1
336,29,66.6,337,1,0.0,1,1,1,2,1,2,0,6,0,1
337,41,134.5,338,1,1.0,3,0,1,0,0,2,0,2,0,2
338,45,8.05,339,3,1.0,1,1,0,2,0,1,1,0,0,3
339,45,35.5,340,1,0.0,1,1,1,2,0,1,0,0,0,3
340,2,26.0,341,2,1.0,5,1,1,2,1,2,0,6,0,0
341,24,263.0,342,1,1.0,3,0,1,2,2,3,0,6,0,1
342,28,13.0,343,2,0.0,1,1,0,2,0,1,1,0,0,1
343,25,13.0,344,2,0.0,1,1,0,2,0,1,1,0,0,1
344,36,13.0,345,2,0.0,1,1,0,2,0,1,1,0,0,2
345,24,13.0,346,2,1.0,3,0,0,2,0,1,0,8,0,1
346,40,13.0,347,2,1.0,3,0,0,2,0,1,1,0,0,2
347,32,16.1,348,3,1.0,2,0,0,2,1,2,1,0,1,1
348,3,15.9,349,3,1.0,5,1,0,2,1,2,1,0,0,0
349,42,8.6625,350,3,0.0,1,1,0,2,0,1,1,0,0,2
350,23,9.225,351,3,0.0,1,1,0,2,0,1,1,0,0,1
351,41,35.0,352,1,0.0,1,1,1,2,0,1,0,1,1,2
352,15,7.2292,353,3,0.0,1,1,0,0,1,1,1,0,0,0
353,25,17.8,354,3,0.0,1,1,1,2,1,2,1,0,0,1
354,28,7.225,355,3,0.0,1,1,0,0,0,1,1,0,1,1
355,28,9.5,356,3,0.0,1,1,0,2,0,1,1,0,0,1
356,22,55.0,357,1,1.0,3,0,1,2,1,2,0,8,0,1
357,38,13.0,358,2,0.0,3,0,0,2,0,1,1,0,0,2
358,17,7.8792,359,3,1.0,3,0,0,1,0,1,1,0,1,0
359,17,7.8792,360,3,1.0,3,0,0,1,0,1,1,0,1,0
360,40,27.9,361,3,0.0,1,1,1,2,2,3,1,0,0,2
361,29,27.7208,362,2,0.0,1,1,1,0,1,2,1,0,0,1
362,45,14.4542,363,3,0.0,2,0,0,0,1,2,1,0,0,3
363,35,7.05,364,3,0.0,1,1,0,2,0,1,1,0,0,2
364,28,15.5,365,3,0.0,1,1,0,1,1,2,1,0,1,1
365,30,7.25,366,3,0.0,1,1,0,2,0,1,1,0,0,1
366,60,75.25,367,1,1.0,2,0,1,0,1,2,0,3,0,4
367,32,7.2292,368,3,1.0,2,0,0,0,0,1,1,0,1,1
368,17,7.75,369,3,1.0,3,0,0,1,0,1,1,0,1,0
369,24,69.3,370,1,1.0,5,0,1,0,0,2,0,4,0,1
370,25,55.4417,371,1,1.0,1,1,1,0,1,2,0,5,0,1
371,18,6.4958,372,3,0.0,1,1,0,2,1,1,1,0,0,1
372,19,8.05,373,3,0.0,1,1,0,2,0,1,1,0,0,1
373,22,135.6333,374,1,0.0,1,1,1,0,0,2,1,0,0,1
374,3,21.075,375,3,0.0,3,0,1,2,2,2,1,0,0,0
375,42,82.1708,376,1,1.0,2,0,1,0,1,2,1,0,1,2
376,22,7.25,377,3,1.0,3,0,0,2,0,1,1,0,0,1
377,27,211.5,378,1,0.0,1,1,1,0,1,2,0,1,0,1
378,20,4.0125,379,3,0.0,1,1,0,0,0,1,1,0,0,1
379,19,7.775,380,3,0.0,1,1,0,2,0,1,1,0,0,1
