,PassengerId,Survived,Pclass,Age,Fare,Name_title,Sex_label,Fare_Group,Embarked_label,Family,TicketLettGroup,Cabin_IsNull,Cabin_group,Age_IsNull,Age_group
151,152,1,1,22,66.6,2,0,1,2,1,2,0,5,0,1
152,153,0,3,55,8.05,1,1,0,2,0,1,1,0,0,3
153,154,0,3,40,14.5,1,1,0,2,1,2,1,0,0,2
154,155,0,3,28,7.3125,1,1,0,2,0,1,1,0,1,1
155,156,0,1,51,61.3792,1,1,1,0,1,2,1,0,0,3
156,157,1,3,16,7.7333,3,0,0,1,0,1,1,0,0,0
157,158,0,3,30,8.05,1,1,0,2,0,1,1,0,0,1
158,159,0,3,28,8.6625,1,1,0,2,0,1,1,0,1,1
159,160,0,3,6,69.55,5,1,1,2,2,4,1,0,1,0
160,161,0,3,44,16.1,1,1,0,2,1,2,1,0,0,3
161,162,1,2,40,15.75,2,0,0,2,0,2,1,0,0,2
162,163,0,3,26,7.775,1,1,0,2,0,1,1,0,0,1
163,164,0,3,17,8.6625,1,1,0,2,0,1,1,0,0,0
164,165,0,3,1,39.6875,5,1,1,2,2,3,1,0,0,0
165,166,1,3,9,20.525,5,1,1,2,1,2,1,0,0,0
166,167,1,1,42,55.0,2,0,1,2,1,2,0,7,1,2
167,168,0,3,45,27.9,2,0,1,2,2,3,1,0,0,3
168,169,0,1,41,25.925,1,1,1,2,0,1,1,0,1,2
169,170,0,3,28,56.4958,1,1,1,2,0,3,1,0,0,1
170,171,0,1,61,33.5,1,1,1,2,0,1,0,3,0,4
171,172,0,3,4,29.125,5,1,1,1,2,3,1,0,0,0
172,173,1,3,1,11.1333,3,0,0,2,1,2,1,0,0,0
173,174,0,3,21,7.925,1,1,0,2,0,1,1,0,0,1
174,175,0,1,56,30.6958,1,1,1,0,0,1,0,3,0,3
175,176,0,3,18,7.8542,1,1,0,2,1,1,1,0,0,1
176,177,0,3,6,25.4667,5,1,1,2,2,2,1,0,1,0
177,178,0,1,50,28.7125,3,0,1,0,0,1,0,5,0,3
178,179,0,2,30,13.0,1,1,0,2,0,1,1,0,0,1
179,180,0,3,36,0.0,1,1,0,2,0,2,1,0,0,2
180,181,0,3,17,69.55,3,0,1,2,2,4,1,0,1,0
181,182,0,2,32,15.05,1,1,0,0,0,1,1,0,1,1
182,183,0,3,9,31.3875,5,1,1,2,2,3,1,0,0,0
183,184,1,2,1,39.0,5,1,1,2,1,2,0,3,0,0
184,185,1,3,4,22.025,3,0,1,2,1,2,1,0,0,0
185,186,0,1,41,50.0,1,1,1,2,0,1,0,2,1,2
186,187,1,3,32,15.5,2,0,0,1,1,2,1,0,1,1
187,188,1,1,45,26.55,1,1,1,2,0,1,1,0,0,3
188,189,0,3,40,15.5,1,1,0,1,1,2,1,0,0,2
189,190,0,3,36,7.8958,1,1,0,2,0,1,1,0,0,2
190,191,1,2,32,13.0,2,0,0,2,0,1,1,0,0,1
191,192,0,2,19,13.0,1,1,0,2,0,1,1,0,0,1
192,193,1,3,19,7.8542,3,0,0,2,1,1,1,0,0,1
193,194,1,2,3,26.0,5,1,1,2,1,2,0,5,0,0
194,195,1,1,44,27.7208,2,0,1,0,0,1,0,3,0,3
195,196,1,1,58,146.5208,3,0,1,0,0,2,0,1,0,3
196,197,0,3,28,7.75,1,1,0,1,0,1,1,0,1,1
197,198,0,3,42,8.4042,1,1,0,2,1,1,1,0,0,2
198,199,1,3,17,7.75,3,0,0,1,0,1,1,0,1,0
199,200,0,2,24,13.0,3,0,0,2,0,1,1,0,0,1
200,201,0,3,28,9.5,1,1,0,2,0,1,1,0,0,1
201,202,0,3,28,69.55,1,1,1,2,2,4,1,0,1,1
202,203,0,3,34,6.4958,1,1,0,2,0,1,1,0,0,2
203,204,0,3,45,7.225,1,1,0,0,0,1,1,0,0,3
204,205,1,3,18,8.05,1,1,0,2,0,1,1,0,0,1
205,206,0,3,2,10.4625,3,0,0,2,1,2,0,6,0,0
206,207,0,3,32,15.85,1,1,0,2,1,2,1,0,0,1
207,208,1,3,26,18.7875,1,1,1,0,0,2,1,0,0,1
208,209,1,3,16,7.75,3,0,0,1,0,1,1,0,0,0
209,210,1,1,40,31.0,1,1,1,0,0,1,0,2,0,2
210,211,0,3,24,7.05,1,1,0,2,0,1,1,0,0,1
211,212,1,2,35,21.0,3,0,1,2,0,2,1,0,0,2
212,213,0,3,22,7.25,1,1,0,2,0,1,1,0,0,1
213,214,0,2,30,13.0,1,1,0,2,0,1,1,0,0,1
214,215,0,3,28,7.75,1,1,0,1,1,1,1,0,1,1
215,216,1,1,31,113.275,3,0,1,0,1,2,0,4,0,1
216,217,1,3,27,7.925,3,0,0,2,0,1,1,0,0,1
217,218,0,2,42,27.0,1,1,1,2,1,2,1,0,0,2
218,219,1,1,32,76.2917,3,0,1,0,0,2,0,1,0,1
219,220,0,2,30,10.5,1,1,0,2,0,1,1,0,0,1
220,221,1,3,16,8.05,1,1,0,2,0,1,1,0,0,0
221,222,0,2,27,13.0,1,1,0,2,0,1,1,0,0,1
222,223,0,3,51,8.05,1,1,0,2,0,1,1,0,0,3
223,224,0,3,28,7.8958,1,1,0,2,0,1,1,0,1,1
224,225,1,1,38,90.0,1,1,1,2,1,2,0,2,0,2
225,226,0,3,22,9.35,1,1,0,2,0,1,1,0,0,1
226,227,1,2,19,10.5,1,1,0,2,0,1,1,0,0,1
227,228,0,3,20,7.25,1,1,0,2,0,1,1,0,0,1
228,229,0,2,18,13.0,1,1,0,2,0,1,1,0,0,1
229,230,0,3,17,25.4667,3,0,1,2,2,2,1,0,1,0
230,231,1,1,35,83.475,2,0,1,2,1,2,0,2,0,2
231,232,0,3,29,7.775,1,1,0,2,0,1,1,0,0,1
232,233,0,2,59,13.5,1,1,0,2,0,1,1,0,0,4
233,234,1,3,5,31.3875,3,0,1,2,2,3,1,0,0,0
234,235,0,2,24,10.5,1,1,0,2,0,1,1,0,0,1
235,236,0,3,17,7.55,3,0,0,2,0,1,1,0,1,0
236,237,0,2,44,26.0,1,1,1,2,1,2,1,0,0,3
237,238,1,2,8,26.25,3,0,1,2,1,2,1,0,0,0
238,239,0,2,19,10.5,1,1,0,2,0,1,1,0,0,1
239,240,0,2,33,12.275,1,1,0,2,0,1,1,0,0,1
240,241,0,3,17,14.4542,3,0,0,0,1,2,1,0,1,0
241,242,1,3,17,15.5,3,0,0,1,1,2,1,0,1,0
242,243,0,2,29,10.5,1,1,0,2,0,1,1,0,0,1
243,244,0,3,22,7.125,1,1,0,2,0,1,1,0,0,1
244,245,0,3,30,7.225,1,1,0,0,0,1,1,0,0,1
245,246,0,1,44,90.0,5,1,1,1,1,2,0,3,0,3
246,247,0,3,25,7.775,3,0,0,2,0,1,1,0,0,1
247,248,1,2,24,14.5,2,0,0,2,1,2,1,0,0,1
248,249,1,1,37,52.5542,1,1,1,2,1,2,0,4,0,2
249,250,0,2,54,26.0,4,1,1,2,1,2,1,0,0,3
250,251,0,3,28,7.25,1,1,0,2,0,1,1,0,1,1
251,252,0,3,29,10.4625,2,0,0,2,1,2,0,6,0,1
252,253,0,1,62,26.55,1,1,1,2,0,1,0,1,0,4
253,254,0,3,30,16.1,1,1,0,2,1,2,1,0,0,1
254,255,0,3,41,20.2125,2,0,1,2,1,2,1,0,0,2
255,256,1,3,29,15.2458,2,0,0,0,1,2,1,0,0,1
256,257,1,1,42,79.2,2,0,1,0,0,2,1,0,1,2
257,258,1,1,30,86.5,3,0,1,2,0,2,0,3,0,1
258,259,1,1,35,512.3292,3,0,1,0,0,2,1,0,0,2
259,260,1,2,50,26.0,2,0,1,2,1,2,1,0,0,3
260,261,0,3,28,7.75,1,1,0,1,0,1,1,0,1,1
261,262,1,3,3,31.3875,5,1,1,2,2,3,1,0,0,0
262,263,0,1,52,79.65,1,1,1,2,1,2,0,2,0,3
263,264,0,1,40,0.0,1,1,0,2,0,1,0,1,0,2
264,265,0,3,17,7.75,3,0,0,1,0,1,1,0,1,0
265,266,0,2,36,10.5,1,1,0,2,0,1,1,0,0,2
266,267,0,3,16,39.6875,1,1,1,2,2,3,1,0,0,0
267,268,1,3,25,7.775,1,1,0,2,1,1,1,0,0,1
268,269,1,1,58,153.4625,2,0,1,2,1,2,0,2,0,3
269,270,1,1,35,135.6333,3,0,1,2,0,2,0,1,0,2
270,271,0,1,41,31.0,1,1,1,2,0,2,1,0,1,2
271,272,1,3,25,0.0,1,1,0,2,0,2,1,0,0,1
272,273,1,2,41,19.5,2,0,1,2,1,2,1,0,0,2
273,274,0,1,37,29.7,1,1,1,0,1,1,0,1,0,2
274,275,1,3,17,7.75,3,0,0,1,0,1,1,0,1,0
275,276,1,1,63,77.9583,3,0,1,2,1,2,0,3,0,4
276,277,0,3,45,7.75,3,0,0,2,0,1,1,0,0,3
277,278,0,2,32,0.0,1,1,0,2,0,2,1,0,1,1
278,279,0,3,7,29.125,5,1,1,1,2,3,1,0,0,0
279,280,1,3,35,20.25,2,0,1,2,1,2,1,0,0,2
280,281,0,3,65,7.75,1,1,0,1,0,1,1,0,0,4
281,282,0,3,28,7.8542,1,1,0,2,0,1,1,0,0,1
282,283,0,3,16,9.5,1,1,0,2,0,1,1,0,0,0
283,284,1,3,19,8.05,1,1,0,2,0,1,1,0,0,1
284,285,0,1,41,26.0,1,1,1,2,0,1,0,3,1,2
285,286,0,3,33,8.6625,1,1,0,0,0,1,1,0,0,1
286,287,1,3,30,9.5,1,1,0,2,0,1,1,0,0,1
287,288,0,3,22,7.8958,1,1,0,2,0,1,1,0,0,1
288,289,1,2,42,13.0,1,1,0,2,0,1,1,0,0,2
289,290,1,3,22,7.75,3,0,0,1,0,1,1,0,0,1
290,291,1,1,26,78.85,3,0,1,2,0,2,1,0,0,1
291,292,1,1,19,91.0792,2,0,1,0,1,2,0,5,0,1
292,293,0,2,36,12.875,1,1,0,0,0,1,0,0,0,2
293,294,0,3,24,8.85,3,0,0,2,0,1,1,0,0,1
294,295,0,3,24,7.8958,1,1,0,2,0,1,1,0,0,1
295,296,0,1,41,27.7208,1,1,1,0,0,1,1,0,1,2
296,297,0,3,23,7.2292,1,1,0,0,0,1,1,0,0,1
297,298,0,1,2,151.55,3,0,1,2,1,3,0,6,0,0
298,299,1,1,41,30.5,1,1,1,2,0,1,0,1,1,2
299,300,1,1,50,247.5208,2,0,1,0,1,2,0,2,0,3
300,301,1,3,17,7.75,3,0,0,1,0,1,1,0,1,0
301,302,1,3,28,23.25,1,1,1,1,1,2,1,0,1,1
302,303,0,3,19,0.0,1,1,0,2,0,2,1,0,0,1
303,304,1,2,20,12.35,3,0,0,1,0,1,0,5,1,1
304,305,0,3,28,8.05,1,1,0,2,0,1,1,0,1,1
305,306,1,1,0,151.55,5,1,1,2,1,3,0,6,0,0
306,307,1,1,30,110.8833,3,0,1,0,0,2,1,0,1,1
307,308,1,1,17,108.9,2,0,1,0,1,2,0,2,0,0
308,309,0,2,30,24.0,1,1,1,0,1,2,1,0,0,1
309,310,1,1,30,56.9292,3,0,1,0,0,2,0,4,0,1
310,311,1,1,24,83.1583,3,0,1,0,0,2,0,1,0,1
311,312,1,1,18,262.375,3,0,1,0,2,3,0,2,0,1
312,313,0,2,26,26.0,2,0,1,2,1,2,1,0,0,1
313,314,0,3,28,7.8958,1,1,0,2,0,1,1,0,0,1
314,315,0,2,43,26.25,1,1,1,2,1,2,1,0,0,2
315,316,1,3,26,7.8542,3,0,0,2,0,1,1,0,0,1
316,317,1,2,24,26.0,2,0,1,2,1,2,1,0,0,1
317,318,0,2,54,14.0,5,1,0,2,0,1,1,0,0,3
318,319,1,1,31,164.8667,3,0,1,2,1,2,0,3,0,1
319,320,1,1,40,134.5,2,0,1,0,1,2,0,2,0,2
320,321,0,3,22,7.25,1,1,0,2,0,1,1,0,0,1
321,322,0,3,27,7.8958,1,1,0,2,0,1,1,0,0,1
322,323,1,2,30,12.35,3,0,0,1,0,1,1,0,0,1
323,324,1,2,22,29.0,2,0,1,2,1,2,1,0,0,1
324,325,0,3,28,69.55,1,1,1,2,2,4,1,0,1,1
325,326,1,1,36,135.6333,3,0,1,0,0,2,0,2,0,2
326,327,0,3,61,6.2375,1,1,0,2,0,1,1,0,0,4
327,328,1,2,36,13.0,2,0,0,2,0,1,0,0,0,2
328,329,1,3,31,20.525,2,0,1,2,1,2,1,0,0,1
329,330,1,1,16,57.9792,3,0,1,0,1,2,0,2,0,0
330,331,1,3,17,23.25,3,0,1,1,1,2,1,0,1,0
331,332,0,1,45,28.5,1,1,1,2,0,1,0,2,0,3
332,333,0,1,38,153.4625,1,1,1,2,1,2,0,1,0,2
333,334,0,3,16,18.0,1,1,1,2,1,2,1,0,0,0
334,335,1,1,42,133.65,2,0,1,2,1,2,1,0,1,2
335,336,0,3,28,7.8958,1,1,0,2,0,1,1,0,1,1
336,337,0,1,29,66.6,1,1,1,2,1,2,0,5,0,1
337,338,1,1,41,134.5,3,0,1,0,0,2,0,1,0,2
338,339,1,3,45,8.05,1,1,0,2,0,1,1,0,0,3
339,340,0,1,45,35.5,1,1,1,2,0,1,0,0,0,3
340,341,1,2,2,26.0,5,1,1,2,1,2,0,5,0,0
341,342,1,1,24,263.0,3,0,1,2,2,3,0,4,0,1
342,343,0,2,28,13.0,1,1,0,2,0,1,1,0,0,1
343,344,0,2,25,13.0,1,1,0,2,0,1,1,0,0,1
344,345,0,2,36,13.0,1,1,0,2,0,1,1,0,0,2
345,346,1,2,24,13.0,3,0,0,2,0,1,0,7,0,1
346,347,1,2,40,13.0,3,0,0,2,0,1,1,0,0,2
347,348,1,3,32,16.1,2,0,0,2,1,2,1,0,1,1
348,349,1,3,3,15.9,5,1,0,2,1,2,1,0,0,0
349,350,0,3,42,8.6625,1,1,0,2,0,1,1,0,0,2
350,351,0,3,23,9.225,1,1,0,2,0,1,1,0,0,1
351,352,0,1,41,35.0,1,1,1,2,0,1,0,1,1,2
352,353,0,3,15,7.2292,1,1,0,0,1,1,1,0,0,0
353,354,0,3,25,17.8,1,1,1,2,1,2,1,0,0,1
354,355,0,3,28,7.225,1,1,0,0,0,1,1,0,1,1
355,356,0,3,28,9.5,1,1,0,2,0,1,1,0,0,1
356,357,1,1,22,55.0,3,0,1,2,1,2,0,7,0,1
357,358,0,2,38,13.0,3,0,0,2,0,1,1,0,0,2
358,359,1,3,17,7.8792,3,0,0,1,0,1,1,0,1,0
359,360,1,3,17,7.8792,3,0,0,1,0,1,1,0,1,0
360,361,0,3,40,27.9,1,1,1,2,2,3,1,0,0,2
361,362,0,2,29,27.7208,1,1,1,0,1,2,1,0,0,1
362,363,0,3,45,14.4542,2,0,0,0,1,2,1,0,0,3
363,364,0,3,35,7.05,1,1,0,2,0,1,1,0,0,2
364,365,0,3,28,15.5,1,1,0,1,1,2,1,0,1,1
365,366,0,3,30,7.25,1,1,0,2,0,1,1,0,0,1
366,367,1,1,60,75.25,2,0,1,0,1,2,0,2,0,4
367,368,1,3,32,7.2292,2,0,0,0,0,1,1,0,1,1
368,369,1,3,17,7.75,3,0,0,1,0,1,1,0,1,0
369,370,1,1,24,69.3,5,0,1,0,0,2,0,4,0,1
370,371,1,1,25,55.4417,1,1,1,0,1,2,0,4,0,1
371,372,0,3,18,6.4958,1,1,0,2,1,1,1,0,0,1
372,373,0,3,19,8.05,1,1,0,2,0,1,1,0,0,1
373,374,0,1,22,135.6333,1,1,1,0,0,2,1,0,0,1
374,375,0,3,3,21.075,3,0,1,2,2,2,1,0,0,0
375,376,1,1,42,82.1708,2,0,1,0,1,2,1,0,1,2
376,377,1,3,22,7.25,3,0,0,2,0,1,1,0,0,1
377,378,0,1,27,211.5,1,1,1,0,1,2,0,1,0,1
378,379,0,3,20,4.0125,1,1,0,0,0,1,1,0,0,1
379,380,0,3,19,7.775,1,1,0,2,0,1,1,0,0,1
380,381,1,1,42,227.525,3,0,1,0,0,2,1,0,0,2
381,382,1,3,1,15.7417,3,0,0,0,1,2,1,0,0,0
382,383,0,3,32,7.925,1,1,0,2,0,1,1,0,0,1
383,384,1,1,35,52.0,2,0,1,2,1,2,1,0,0,2
384,385,0,3,28,7.8958,1,1,0,2,0,1,1,0,1,1
385,386,0,2,18,73.5,1,1,1,2,0,3,1,0,0,1
386,387,0,3,1,46.9,5,1,1,2,2,3,1,0,0,0
387,388,1,2,36,13.0,3,0,0,2,0,1,1,0,0,2
388,389,0,3,28,7.7292,1,1,0,1,0,1,1,0,1,1
389,390,1,2,17,12.0,3,0,0,0,0,1,1,0,0,0
390,391,1,1,36,120.0,1,1,1,2,1,2,0,4,0,2
391,392,1,3,21,7.7958,1,1,0,2,0,1,1,0,0,1
392,393,0,3,28,7.925,1,1,0,2,1,1,1,0,0,1
393,394,1,1,23,113.275,3,0,1,0,1,2,0,4,0,1
394,395,1,3,24,16.7,2,0,0,2,1,2,0,6,0,1
395,396,0,3,22,7.7958,1,1,0,2,0,1,1,0,0,1
396,397,0,3,31,7.8542,3,0,0,2,0,1,1,0,0,1
397,398,0,2,46,26.0,1,1,1,2,0,2,1,0,0,3
398,399,0,2,23,10.5,5,1,0,2,0,1,1,0,0,1
399,400,1,2,28,12.65,2,0,0,2,0,1,1,0,0,1
400,401,1,3,39,7.925,1,1,0,2,0,1,1,0,0,2
401,402,0,3,26,8.05,1,1,0,2,0,1,1,0,0,1
